metro,date,rent
"Atlanta, GA",2024-01-31,1747.864793973811
"Atlanta, GA",2024-02-29,1750.7864420161443
"Atlanta, GA",2024-03-31,1750.2964952725804
"Atlanta, GA",2024-04-30,1751.1137835964578
"Atlanta, GA",2024-05-31,1753.1716315348397
"Atlanta, GA",2024-06-30,1757.6900892662993
"Atlanta, GA",2024-07-31,1758.364995016756
"Atlanta, GA",2024-08-31,1757.6511564406146
"Atlanta, GA",2024-09-30,1759.7330300828676
"Atlanta, GA",2024-10-31,1763.267764517579
"Atlanta, GA",2024-11-30,1768.7398463830907
"Atlanta, GA",2024-12-31,1773.001972740025
"Austin, TX",2015-01-31,1145.594202403274
"Austin, TX",2015-02-28,1152.883520982409
"Austin, TX",2015-03-31,1154.995338364198
"Austin, TX",2015-04-30,1155.4345572583677
"Austin, TX",2015-05-31,1158.223073852741
"Austin, TX",2015-06-30,1163.6112926677226
"Austin, TX",2015-07-31,1170.356086976227
"Austin, TX",2015-08-31,1177.9869866650863
"Austin, TX",2015-09-30,1183.7133185359082
"Austin, TX",2015-10-31,1189.5682390438983
"Austin, TX",2015-11-30,1193.851820753379
"Austin, TX",2015-12-31,1199.0515595089676
"Austin, TX",2016-01-31,1201.5309635234648
"Austin, TX",2016-02-29,1200.9398382394534
"Austin, TX",2016-03-31,1199.1324030299677
"Austin, TX",2016-04-30,1202.2716779493514
"Austin, TX",2016-05-31,1205.5282393557688
"Austin, TX",2016-06-30,1210.242938737185
"Austin, TX",2016-07-31,1213.00329875721
"Austin, TX",2016-08-31,1215.600626615691
"Austin, TX",2016-09-30,1217.5191018496946
"Austin, TX",2016-10-31,1218.4956009920131
"Austin, TX",2016-11-30,1219.4622796381725
"Austin, TX",2016-12-31,1222.3822062039164
"Austin, TX",2017-01-31,1226.684423241113
"Austin, TX",2017-02-28,1232.458985741753
"Austin, TX",2017-03-31,1239.9037443626714
"Austin, TX",2017-04-30,1243.7362591479111
"Austin, TX",2017-05-31,1245.5619933215844
"Austin, TX",2017-06-30,1246.0104106537365
"Austin, TX",2017-07-31,1245.1099853257938
"Austin, TX",2017-08-31,1243.9535032907927
"Austin, TX",2017-09-30,1243.8465114689525
"Austin, TX",2017-10-31,1245.2831775820457
"Austin, TX",2017-11-30,1250.1806691934798
"Austin, TX",2017-12-31,1252.6751860478803
"Austin, TX",2018-01-31,1254.086956774191
"Austin, TX",2018-02-28,1258.6172193697407
"Austin, TX",2018-03-31,1259.5246544224633
